ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
UGA,Eastern,6583802,Married women currently using any modern method of contraception,2,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_MOD,32633020,I,452005,1452050,Region,Eastern,0,,0,1,FPCUSMWMOD,UGDHS1988452005,1988-89,DHS,979,639,,,
UGA,Northern,6442110,Married women currently using any modern method of contraception,0,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_MOD,32633020,I,452008,1452080,Region,Northern,0,,0,1,FPCUSMWMOD,UGDHS1988452008,1988-89,DHS,194,118,,,
UGA,Western,2187549,Married women currently using any modern method of contraception,1.3,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_MOD,32633020,I,452013,1452130,Region,Western,0,,0,1,FPCUSMWMOD,UGDHS1988452013,1988-89,DHS,1080,1131,,,
UGA,Central,286615,Median age at first marriage [Women]: 25-49,17.2,1,UG,Uganda,1988,UG1988DHS,MA_AAFM_W_M2B,41633090,I,452001,1452010,Region,Central,0,,0,1,MAAAFMWM2B,UGDHS1988452001,1988-89,DHS,,,,,
UGA,Eastern,272078,Median age at first marriage [Women]: 25-49,16.2,1,UG,Uganda,1988,UG1988DHS,MA_AAFM_W_M2B,41633090,I,452005,1452050,Region,Eastern,0,,0,1,MAAAFMWM2B,UGDHS1988452005,1988-89,DHS,,,,,
UGA,Northern,272012,Median age at first marriage [Women]: 25-49,17.5,1,UG,Uganda,1988,UG1988DHS,MA_AAFM_W_M2B,41633090,I,452008,1452080,Region,Northern,0,,0,1,MAAAFMWM2B,UGDHS1988452008,1988-89,DHS,,,,,
UGA,Western,271931,Median age at first marriage [Women]: 25-49,17.5,1,UG,Uganda,1988,UG1988DHS,MA_AAFM_W_M2B,41633090,I,452013,1452130,Region,Western,0,,0,1,MAAAFMWM2B,UGDHS1988452013,1988-89,DHS,,,,,
UGA,Central,522757,Infant mortality rate,102,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,452001,1452010,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1988452001,1988-89,DHS,,,86,117,
UGA,Eastern,510609,Infant mortality rate,118,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,452005,1452050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1988452005,1988-89,DHS,,,103,134,
UGA,Northern,510550,Infant mortality rate,123,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,452008,1452080,Region,Northern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1988452008,1988-89,DHS,,,93,153,
UGA,Western,510571,Infant mortality rate,97,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,452013,1452130,Region,Western,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1988452013,1988-89,DHS,,,85,110,
UGA,Central,7430383,Under-five mortality rate,186,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_U5M,63206050,I,452001,1452010,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1988452001,1988-89,DHS,,,163,210,
UGA,Eastern,7561131,Under-five mortality rate,206,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_U5M,63206050,I,452005,1452050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1988452005,1988-89,DHS,,,184,227,
UGA,Western,7249848,Under-five mortality rate,170,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_U5M,63206050,I,452013,1452130,Region,Western,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1988452013,1988-89,DHS,,,154,185,
UGA,Central,4182894,Fully vaccinated (8 basic antigens),23.6,1,UG,Uganda,1988,UG1988DHS,CH_VACC_C_BAS,93906230,I,452001,1452010,Region,Central,0,,0,1,CHVACCCBAS,UGDHS1988452001,1988-89,DHS,298,378,,,
UGA,Eastern,4720798,Fully vaccinated (8 basic antigens),13.6,1,UG,Uganda,1988,UG1988DHS,CH_VACC_C_BAS,93906230,I,452005,1452050,Region,Eastern,0,,0,1,CHVACCCBAS,UGDHS1988452005,1988-89,DHS,262,170,,,
UGA,Northern,1820903,Fully vaccinated (8 basic antigens),17.2,1,UG,Uganda,1988,UG1988DHS,CH_VACC_C_BAS,93906230,I,452008,1452080,Region,Northern,0,,0,1,CHVACCCBAS,UGDHS1988452008,1988-89,DHS,48,29,,,
UGA,Western,5854416,Fully vaccinated (8 basic antigens),32,1,UG,Uganda,1988,UG1988DHS,CH_VACC_C_BAS,93906230,I,452013,1452130,Region,Western,0,,0,1,CHVACCCBAS,UGDHS1988452013,1988-89,DHS,339,357,,,
UGA,Central,636278,Total fertility rate 15-49,6.3,1,UG,Uganda,1995,UG1995DHS,FE_FRTR_W_TFR,11763080,I,452001,1452010,Region,Central,0,,0,1,FEFRTRWTFR,UGDHS1995452001,1995,DHS,,,,,1
UGA,Eastern,645319,Total fertility rate 15-49,7.4,1,UG,Uganda,1995,UG1995DHS,FE_FRTR_W_TFR,11763080,I,452005,1452050,Region,Eastern,0,,0,1,FEFRTRWTFR,UGDHS1995452005,1995,DHS,,,,,1
UGA,Northern,652417,Total fertility rate 15-49,6.8,1,UG,Uganda,1995,UG1995DHS,FE_FRTR_W_TFR,11763080,I,452008,1452080,Region,Northern,0,,0,1,FEFRTRWTFR,UGDHS1995452008,1995,DHS,,,,,1
UGA,Western,3846789,Total fertility rate 15-49,7,1,UG,Uganda,1995,UG1995DHS,FE_FRTR_W_TFR,11763080,I,452013,1452130,Region,Western,0,,0,1,FEFRTRWTFR,UGDHS1995452013,1995,DHS,,,,,1
UGA,Central,2219115,Married women currently using any method of contraception,25,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_ANY,32633010,I,452001,1452010,Region,Central,0,,0,1,FPCUSMWANY,UGDHS1995452001,1995,DHS,1243,1359,,,1
UGA,Eastern,4236795,Married women currently using any method of contraception,11.3,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_ANY,32633010,I,452005,1452050,Region,Eastern,0,,0,1,FPCUSMWANY,UGDHS1995452005,1995,DHS,1400,1453,,,1
UGA,Northern,5600571,Married women currently using any method of contraception,13.6,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_ANY,32633010,I,452008,1452080,Region,Northern,0,,0,1,FPCUSMWANY,UGDHS1995452008,1995,DHS,1115,863,,,1
UGA,Western,376744,Married women currently using any method of contraception,10.3,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_ANY,32633010,I,452013,1452130,Region,Western,0,,0,1,FPCUSMWANY,UGDHS1995452013,1995,DHS,1378,1228,,,1
UGA,Central,2219116,Married women currently using any modern method of contraception,16.2,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_MOD,32633020,I,452001,1452010,Region,Central,0,,0,1,FPCUSMWMOD,UGDHS1995452001,1995,DHS,1243,1359,,,1
UGA,Eastern,4236796,Married women currently using any modern method of contraception,5.5,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_MOD,32633020,I,452005,1452050,Region,Eastern,0,,0,1,FPCUSMWMOD,UGDHS1995452005,1995,DHS,1400,1453,,,1
UGA,Northern,5600579,Married women currently using any modern method of contraception,2.5,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_MOD,32633020,I,452008,1452080,Region,Northern,0,,0,1,FPCUSMWMOD,UGDHS1995452008,1995,DHS,1115,863,,,1
UGA,Western,376745,Married women currently using any modern method of contraception,6.9,1,UG,Uganda,1995,UG1995DHS,FP_CUSM_W_MOD,32633020,I,452013,1452130,Region,Western,0,,0,1,FPCUSMWMOD,UGDHS1995452013,1995,DHS,1378,1228,,,1
UGA,Central,6987807,Unmet need for family planning,34.7,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_UNT,32933030,I,452001,1452010,Region,Central,0,,0,1,FPNADMWUNT,UGDHS1995452001,1995,DHS,1243,1359,,,1
UGA,Eastern,2419556,Unmet need for family planning,31.8,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_UNT,32933030,I,452005,1452050,Region,Eastern,0,,0,1,FPNADMWUNT,UGDHS1995452005,1995,DHS,1400,1453,,,1
UGA,Northern,3260986,Unmet need for family planning,24.6,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_UNT,32933030,I,452008,1452080,Region,Northern,0,,0,1,FPNADMWUNT,UGDHS1995452008,1995,DHS,1115,863,,,1
UGA,Western,4751401,Unmet need for family planning,28.3,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_UNT,32933030,I,452013,1452130,Region,Western,0,,0,1,FPNADMWUNT,UGDHS1995452013,1995,DHS,1378,1228,,,1
UGA,Central,354505,Demand for family planning satisfied by modern methods,27.2,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_PDM,32933150,I,452001,1452010,Region,Central,0,,0,1,FPNADMWPDM,UGDHS1995452001,1995,DHS,742,820,,,1
UGA,Eastern,3526309,Demand for family planning satisfied by modern methods,12.7,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_PDM,32933150,I,452005,1452050,Region,Eastern,0,,0,1,FPNADMWPDM,UGDHS1995452005,1995,DHS,604,645,,,1
UGA,Northern,3233664,Demand for family planning satisfied by modern methods,6.5,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_PDM,32933150,I,452008,1452080,Region,Northern,0,,0,1,FPNADMWPDM,UGDHS1995452008,1995,DHS,426,359,,,1
UGA,Western,2810103,Demand for family planning satisfied by modern methods,17.9,1,UG,Uganda,1995,UG1995DHS,FP_NADM_W_PDM,32933150,I,452013,1452130,Region,Western,0,,0,1,FPNADMWPDM,UGDHS1995452013,1995,DHS,532,516,,,1
UGA,Central,264326,Median age at first marriage [Women]: 25-49,17.8,1,UG,Uganda,1995,UG1995DHS,MA_AAFM_W_M2B,41633090,I,452001,1452010,Region,Central,0,,0,1,MAAAFMWM2B,UGDHS1995452001,1995,DHS,,,,,1
UGA,Eastern,271979,Median age at first marriage [Women]: 25-49,17,1,UG,Uganda,1995,UG1995DHS,MA_AAFM_W_M2B,41633090,I,452005,1452050,Region,Eastern,0,,0,1,MAAAFMWM2B,UGDHS1995452005,1995,DHS,,,,,1
UGA,Northern,286646,Median age at first marriage [Women]: 25-49,17.4,1,UG,Uganda,1995,UG1995DHS,MA_AAFM_W_M2B,41633090,I,452008,1452080,Region,Northern,0,,0,1,MAAAFMWM2B,UGDHS1995452008,1995,DHS,,,,,1
UGA,Western,3857702,Median age at first marriage [Women]: 25-49,17.4,1,UG,Uganda,1995,UG1995DHS,MA_AAFM_W_M2B,41633090,I,452013,1452130,Region,Western,0,,0,1,MAAAFMWM2B,UGDHS1995452013,1995,DHS,,,,,1
UGA,Central,264345,Median age at first sexual intercourse [Women]: 25-49,15.9,1,UG,Uganda,1995,UG1995DHS,SX_AAFS_W_M2B,51703090,I,452001,1452010,Region,Central,0,,0,1,SXAAFSWM2B,UGDHS1995452001,1995,DHS,,,,,1
UGA,Eastern,271996,Median age at first sexual intercourse [Women]: 25-49,15.4,1,UG,Uganda,1995,UG1995DHS,SX_AAFS_W_M2B,51703090,I,452005,1452050,Region,Eastern,0,,0,1,SXAAFSWM2B,UGDHS1995452005,1995,DHS,,,,,1
UGA,Northern,286657,Median age at first sexual intercourse [Women]: 25-49,16.4,1,UG,Uganda,1995,UG1995DHS,SX_AAFS_W_M2B,51703090,I,452008,1452080,Region,Northern,0,,0,1,SXAAFSWM2B,UGDHS1995452008,1995,DHS,,,,,1
UGA,Western,3857743,Median age at first sexual intercourse [Women]: 25-49,16.5,1,UG,Uganda,1995,UG1995DHS,SX_AAFS_W_M2B,51703090,I,452013,1452130,Region,Western,0,,0,1,SXAAFSWM2B,UGDHS1995452013,1995,DHS,,,,,1
UGA,Central,7569521,Infant mortality rate,77,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,452001,1452010,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1995452001,1995,DHS,,,64,89,1
UGA,Eastern,7537523,Infant mortality rate,98,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,452005,1452050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1995452005,1995,DHS,,,85,111,1
UGA,Northern,522788,Infant mortality rate,99,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,452008,1452080,Region,Northern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1995452008,1995,DHS,,,79,120,1
UGA,Western,7473791,Infant mortality rate,75,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,452013,1452130,Region,Western,14003,Ten years preceding the survey,0,1,CMECMRCIMR,UGDHS1995452013,1995,DHS,,,61,89,1
UGA,Central,503572,Under-five mortality rate,141,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,452001,1452010,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1995452001,1995,DHS,,,122,160,1
UGA,Eastern,7414737,Under-five mortality rate,176,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,452005,1452050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1995452005,1995,DHS,,,157,195,1
UGA,Northern,522752,Under-five mortality rate,190,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,452008,1452080,Region,Northern,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1995452008,1995,DHS,,,163,217,1
UGA,Western,522806,Under-five mortality rate,131,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,452013,1452130,Region,Western,14003,Ten years preceding the survey,0,1,CMECMRCU5M,UGDHS1995452013,1995,DHS,,,111,151,1
UGA,Central,3944254,Place of delivery: Health facility,55.5,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452001,1452010,Region,Central,14000,Three years preceding the survey,0,0,RHDELPCDHF,UGDHS1995452001,1995,DHS,1201,1285,,,1
UGA,Central,1473097,Place of delivery: Health facility,55.5,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452001,1452010,Region,Central,14002,Two years preceding the survey,0,1,RHDELPCDHF,UGDHS1995452001,1995,DHS,839,887,,,1
UGA,Eastern,6614232,Place of delivery: Health facility,38.2,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452005,1452050,Region,Eastern,14000,Three years preceding the survey,0,0,RHDELPCDHF,UGDHS1995452005,1995,DHS,1245,1290,,,1
UGA,Eastern,5825294,Place of delivery: Health facility,37.3,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452005,1452050,Region,Eastern,14002,Two years preceding the survey,0,1,RHDELPCDHF,UGDHS1995452005,1995,DHS,894,910,,,1
UGA,Northern,2755882,Place of delivery: Health facility,18.1,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452008,1452080,Region,Northern,14000,Three years preceding the survey,0,0,RHDELPCDHF,UGDHS1995452008,1995,DHS,925,714,,,1
UGA,Northern,5985290,Place of delivery: Health facility,18.5,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452008,1452080,Region,Northern,14002,Two years preceding the survey,0,1,RHDELPCDHF,UGDHS1995452008,1995,DHS,667,508,,,1
UGA,Western,4202696,Place of delivery: Health facility,22.7,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452013,1452130,Region,Western,14000,Three years preceding the survey,0,0,RHDELPCDHF,UGDHS1995452013,1995,DHS,1289,1145,,,1
UGA,Western,4184920,Place of delivery: Health facility,22.8,1,UG,Uganda,1995,UG1995DHS,RH_DELP_C_DHF,83566070,I,452013,1452130,Region,Western,14002,Two years preceding the survey,0,1,RHDELPCDHF,UGDHS1995452013,1995,DHS,911,798,,,1
UGA,Central,3722979,Fully vaccinated (8 basic antigens),53.4,1,UG,Uganda,1995,UG1995DHS,CH_VACC_C_BAS,93906230,I,452001,1452010,Region,Central,0,,0,1,CHVACCCBAS,UGDHS1995452001,1995,DHS,397,421,,,1
UGA,Eastern,2265376,Fully vaccinated (8 basic antigens),34.4,1,UG,Uganda,1995,UG1995DHS,CH_VACC_C_BAS,93906230,I,452005,1452050,Region,Eastern,0,,0,1,CHVACCCBAS,UGDHS1995452005,1995,DHS,431,443,,,1
UGA,Northern,6418446,Fully vaccinated (8 basic antigens),34.7,1,UG,Uganda,1995,UG1995DHS,CH_VACC_C_BAS,93906230,I,452008,1452080,Region,Northern,0,,0,1,CHVACCCBAS,UGDHS1995452008,1995,DHS,335,248,,,1
UGA,Western,3523043,Fully vaccinated (8 basic antigens),65.1,1,UG,Uganda,1995,UG1995DHS,CH_VACC_C_BAS,93906230,I,452013,1452130,Region,Western,0,,0,1,CHVACCCBAS,UGDHS1995452013,1995,DHS,425,363,,,1
UGA,Central,4422741,Treatment of diarrhea: Either ORS or RHF,46.7,1,UG,Uganda,1995,UG1995DHS,CH_DIAT_C_ORT,94096040,I,452001,1452010,Region,Central,14000,Three years preceding the survey,0,0,CHDIATCORT,UGDHS1995452001,1995,DHS,215,237,,,1
UGA,Eastern,2911488,Treatment of diarrhea: Either ORS or RHF,48.1,1,UG,Uganda,1995,UG1995DHS,CH_DIAT_C_ORT,94096040,I,452005,1452050,Region,Eastern,14000,Three years preceding the survey,0,0,CHDIATCORT,UGDHS1995452005,1995,DHS,339,353,,,1
UGA,Northern,6788281,Treatment of diarrhea: Either ORS or RHF,55.2,1,UG,Uganda,1995,UG1995DHS,CH_DIAT_C_ORT,94096040,I,452008,1452080,Region,Northern,14000,Three years preceding the survey,0,0,CHDIATCORT,UGDHS1995452008,1995,DHS,303,208,,,1
UGA,Western,4425752,Treatment of diarrhea: Either ORS or RHF,45.3,1,UG,Uganda,1995,UG1995DHS,CH_DIAT_C_ORT,94096040,I,452013,1452130,Region,Western,14000,Three years preceding the survey,0,0,CHDIATCORT,UGDHS1995452013,1995,DHS,275,246,,,1
UGA,Central,3917670,Children stunted,39.8,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_HA2,104236020,I,452001,1452010,Region,Central,0,,0,1,CNNUTSCHA2,UGDHS1995452001,1995,DHS,1237,1322,,,1
UGA,Eastern,76298,Children stunted,43.1,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_HA2,104236020,I,452005,1452050,Region,Eastern,0,,0,1,CNNUTSCHA2,UGDHS1995452005,1995,DHS,1273,1300,,,1
UGA,Northern,5470597,Children stunted,46.6,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_HA2,104236020,I,452008,1452080,Region,Northern,0,,0,1,CNNUTSCHA2,UGDHS1995452008,1995,DHS,922,707,,,1
UGA,Western,4425934,Children stunted,50.4,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_HA2,104236020,I,452013,1452130,Region,Western,0,,0,1,CNNUTSCHA2,UGDHS1995452013,1995,DHS,1355,1197,,,1
UGA,Central,2005692,Children wasted,4.7,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WH2,104236050,I,452001,1452010,Region,Central,0,,0,1,CNNUTSCWH2,UGDHS1995452001,1995,DHS,1237,1322,,,1
UGA,Eastern,5140263,Children wasted,8.3,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WH2,104236050,I,452005,1452050,Region,Eastern,0,,0,1,CNNUTSCWH2,UGDHS1995452005,1995,DHS,1273,1300,,,1
UGA,Northern,93191,Children wasted,8.8,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WH2,104236050,I,452008,1452080,Region,Northern,0,,0,1,CNNUTSCWH2,UGDHS1995452008,1995,DHS,922,707,,,1
UGA,Western,3875087,Children wasted,6.2,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WH2,104236050,I,452013,1452130,Region,Western,0,,0,1,CNNUTSCWH2,UGDHS1995452013,1995,DHS,1355,1197,,,1
UGA,Central,4394885,Children underweight,16.5,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WA2,104236090,I,452001,1452010,Region,Central,0,,0,1,CNNUTSCWA2,UGDHS1995452001,1995,DHS,1237,1322,,,1
UGA,Eastern,76294,Children underweight,23.7,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WA2,104236090,I,452005,1452050,Region,Eastern,0,,0,1,CNNUTSCWA2,UGDHS1995452005,1995,DHS,1273,1300,,,1
UGA,Northern,5600273,Children underweight,25.5,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WA2,104236090,I,452008,1452080,Region,Northern,0,,0,1,CNNUTSCWA2,UGDHS1995452008,1995,DHS,922,707,,,1
UGA,Western,5733486,Children underweight,19,1,UG,Uganda,1995,UG1995DHS,CN_NUTS_C_WA2,104236090,I,452013,1452130,Region,Western,0,,0,1,CNNUTSCWA2,UGDHS1995452013,1995,DHS,1355,1197,,,1
UGA,Central,69422,Median duration of exclusive breastfeeding,2.2,1,UG,Uganda,1995,UG1995DHS,CN_BFDR_C_MDE,104336020,I,452001,1452010,Region,Central,0,,0,1,CNBFDRCMDE,UGDHS1995452001,1995,DHS,,,,,1
UGA,Eastern,76333,Median duration of exclusive breastfeeding,2.3,1,UG,Uganda,1995,UG1995DHS,CN_BFDR_C_MDE,104336020,I,452005,1452050,Region,Eastern,0,,0,1,CNBFDRCMDE,UGDHS1995452005,1995,DHS,,,,,1
UGA,Northern,93244,Median duration of exclusive breastfeeding,5.7,1,UG,Uganda,1995,UG1995DHS,CN_BFDR_C_MDE,104336020,I,452008,1452080,Region,Northern,0,,0,1,CNBFDRCMDE,UGDHS1995452008,1995,DHS,,,,,1
UGA,Western,3874101,Median duration of exclusive breastfeeding,3.1,1,UG,Uganda,1995,UG1995DHS,CN_BFDR_C_MDE,104336020,I,452013,1452130,Region,Western,0,,0,1,CNBFDRCMDE,UGDHS1995452013,1995,DHS,,,,,1
UGA,Central,3947874,Women with secondary or higher education,23.6,1,UG,Uganda,1995,UG1995DHS,ED_EDUC_W_SEH,231203100,I,452001,1452010,Region,Central,0,,0,1,EDEDUCWSEH,UGDHS1995452001,1995,DHS,1967,2218,,,1
UGA,Eastern,5651531,Women with secondary or higher education,12.1,1,UG,Uganda,1995,UG1995DHS,ED_EDUC_W_SEH,231203100,I,452005,1452050,Region,Eastern,0,,0,1,EDEDUCWSEH,UGDHS1995452005,1995,DHS,1738,1911,,,1
UGA,Northern,3565775,Women with secondary or higher education,6.5,1,UG,Uganda,1995,UG1995DHS,ED_EDUC_W_SEH,231203100,I,452008,1452080,Region,Northern,0,,0,1,EDEDUCWSEH,UGDHS1995452008,1995,DHS,1398,1136,,,1
UGA,Western,5544483,Women with secondary or higher education,9.5,1,UG,Uganda,1995,UG1995DHS,ED_EDUC_W_SEH,231203100,I,452013,1452130,Region,Western,0,,0,1,EDEDUCWSEH,UGDHS1995452013,1995,DHS,1968,1805,,,1
UGA,Central,7101247,Households with electricity,17.2,1,UG,Uganda,1995,UG1995DHS,HC_ELEC_H_ELC,260321010,I,452001,1452010,Region,Central,0,,0,1,HCELECHELC,UGDHS1995452001,1995,DHS,2182,2436,,,1
UGA,Eastern,3411712,Households with electricity,2.8,1,UG,Uganda,1995,UG1995DHS,HC_ELEC_H_ELC,260321010,I,452005,1452050,Region,Eastern,0,,0,1,HCELECHELC,UGDHS1995452005,1995,DHS,1803,1990,,,1
UGA,Northern,6997881,Households with electricity,2,1,UG,Uganda,1995,UG1995DHS,HC_ELEC_H_ELC,260321010,I,452008,1452080,Region,Northern,0,,0,1,HCELECHELC,UGDHS1995452008,1995,DHS,1368,1099,,,1
UGA,Western,5246653,Households with electricity,2.6,1,UG,Uganda,1995,UG1995DHS,HC_ELEC_H_ELC,260321010,I,452013,1452130,Region,Western,0,,0,1,HCELECHELC,UGDHS1995452013,1995,DHS,2197,2025,,,1
UGA,Central,627776,Total fertility rate 15-49,5.7,1,UG,Uganda,2000,UG2000DHS,FE_FRTR_W_TFR,11763080,I,452001,1452010,Region,Central,0,,0,1,FEFRTRWTFR,UGDHS2000452001,2000-01,DHS,,,,,1
UGA,Eastern,636454,Total fertility rate 15-49,7.4,1,UG,Uganda,2000,UG2000DHS,FE_FRTR_W_TFR,11763080,I,452005,1452050,Region,Eastern,0,,0,1,FEFRTRWTFR,UGDHS2000452005,2000-01,DHS,,,,,1
